site,lat,lng,zip,name,address,phone,email,web
"Brewdog","53.3796","-1.47711","","Sheffield","108- 110 Devonshire Street, Sheffield, S3 7SF, England","0114 241 4193","sheffieldbar@brewdog.com","https://untappd.com/v/brewdog-sheffield/1429187"
"Brewdog","51.55678","0.249802","","Upminster","18 Station Road, Upminster, RM14 2UD, England","01708 508881","upminsterbar@brewdog.com","https://untappd.com/v/brewdog-upminster/11670911"
"Brewdog","51.50297633538559","-0.11523277322445258","","Waterloo","Unit G, Waterloo Station, 01 The Sidings, London, SE1 7BH, England","02073971010","waterloobookings@brewdog.com","https://untappd.com/v/brewdog-waterloo/11470925"
"Brewdog","51.50999","-0.07945","","Seething Lane Tap","14-15 Seething Ln, London, EC3N 4AX, England","020 7042 7468","seethinglanetap@brewdog.com","https://untappd.com/v/seething-lane-tap-a-brewdog-pub/965108"
"Brewdog","51.5383","-0.140923","","Camden","113 Bayham St, London, NW1 0AG, England","020 7284 4626","camdenbar@brewdog.com","https://untappd.com/v/brewdog-camden/137251"
"Brewdog","51.5224","-0.103772","","Clerkenwell","45-47 Clerkenwell Rd, London, EC1M 5RS, England","020 7608 2989","clerkenwellbar@brewdog.com","https://untappd.com/v/brewdog-clerkenwell/4000363"
"Brewdog","51.51685","-0.10885","","Chancery Lane ","1 Plough Pl, London, EC4A 1DE, England","020 3141 5885","chancerybar@brewdog.com","https://untappd.com/v/brewdog-chancery-lane/4669746"
"Brewdog","53.6446","-1.77904","","Huddersfield","29 Zetland St, Huddersfield, HD1 2RA, England","01484 369417","huddersfieldbar@brewdog.com","https://untappd.com/v/brewdog-huddersfield/11005471"
"Brewdog","53.79151","-1.75799","","Bradford","11 Great Horton Rd, Bradford, BD7 1AJ, England","01274 966666","bradfordbar@brewdog.com","https://untappd.com/v/brewdog-bradford/9873777"
"Brewdog","53.9564","-1.09042","","York","130-134 Micklegate, York, YO1 6JX, England","01904 620773","yorkbar@brewdog.com","https://untappd.com/v/brewdog-york/4677413"
