site,lat,lng,zip,name,address,phone,email,web
"Brewersfayre","51.814972","-3.027484","NP7 9LH","Abergavenny","Westgate, Llanfoist, Abergavenny, NP7 9LH","","","https://www.brewersfayre.co.uk//en-gb/locations/abergavenny/abergavenny"
"Brewersfayre","53.279533","-3.789768","LL28 5LB","Afon Conwy","Glan Conwy Corner, Colwyn Bay, North Wales, LL28 5LB","","","https://www.brewersfayre.co.uk//en-gb/locations/conwy/afon-conwy"
"Brewersfayre","53.705954","-0.913153","DN14 8JS","Aire & Calder","Rawcliffe Road, Airmyn, Goole, DN14 8JS","","","https://www.brewersfayre.co.uk//en-gb/locations/yorkshire/aire-&-calder"
"Brewersfayre","56.181979","-3.151746","KY7 4UJ","Bankhead Gate","Beaufort Drive, Glenrothes, Fife, KY7 4UJ","","","https://www.brewersfayre.co.uk//en-gb/locations/fife/bankhead-gate"
"Brewersfayre","54.111996","-3.240263","LA14 2PW","Barrow-in-Furness","North Road, Barrow-in-Furness, Lancashire, LA14 2PW","","","https://www.brewersfayre.co.uk//en-gb/locations/cumbria/barrow-in-furness"
"Brewersfayre","51.399694","-3.279244","CF62 5QN","Barry Island","Triangle Site, Fford Y Mileniwm the Waterfront, Barry, CF62 5QN","","","https://www.brewersfayre.co.uk//en-gb/locations/vale-of-glamorgan/barry-island"
"Brewersfayre","52.105701","-0.505031","MK42 7FY","Bedford South","Marsh Leys, Kempston, Bedford, MK42 7FY","","","https://www.brewersfayre.co.uk//en-gb/locations/bedfordshire/bedford-south"
"Brewersfayre","55.819368","-4.041209","ML4 3PD","Bellziehill Farm","10-12 Belziehill Road, Bellshill, N. Lanarkshire, ML4 3PD","","","https://www.brewersfayre.co.uk//en-gb/locations/glasgow/bellziehill-farm"
"Brewersfayre","51.455301","0.142054","DA6 7HG","Bexleyheath","51 Albion Road, Bexleyheath, London, DA6 7HG","","","https://www.brewersfayre.co.uk//en-gb/locations/greater-london/bexleyheath"
"Brewersfayre","51.894186","-1.16262","OX26 1BT","Bicester","Oxford Road, Bicester, Oxfordshire, OX26 1BT","","","https://www.brewersfayre.co.uk//en-gb/locations/oxfordshire/bicester"
"Brewersfayre","51.351388","0.706944","ME9 8RZ","Bobbing Apple","Sheppey Way, Bobbing Corner, Nr Sittingbourne, ME9 8RZ","","","https://www.brewersfayre.co.uk//en-gb/locations/kent/bobbing-apple"
"Brewersfayre","52.329478","-0.254445","PE28 4NQ","Brampton Hut","Great North Road, Brampton, Huntingdon, PE28 4NQ","","","https://www.brewersfayre.co.uk//en-gb/locations/cambridgeshire/brampton-hut"
"Brewersfayre","51.009152","-4.238432","EX39 3QU","Brewers Fayre Bideford","Clovelly Road (opp Atlantic Village), Bideford, Devon, EX39 3QU","","","https://www.brewersfayre.co.uk//en-gb/locations/devon/brewers-fayre-bideford"
"Brewersfayre","54.648487","-3.370277","CA13 0QX","Brewers Fayre Cockermouth","Waterloo Lane, Cockermouth, Cumbria, CA13 0QX","","","https://www.brewersfayre.co.uk//en-gb/locations/cumbria/brewers-fayre-cockermouth"
