site,lat,lng,zip,name,address,phone,email,web
"ChefandBrewer","51.452491","-2.426634","BS30 5QH","Rose & Crown","44 High Street, Wick, Bristol, BS30 5QH","01179 372198","6229@greeneking.co.uk",""
"ChefandBrewer","51.592626","-2.528478","BS35 3LL","Ship Inn","Thornbury Road, Alveston, Bristol, BS35 3LL","01454 412521","6234@greeneking.co.uk",""
"ChefandBrewer","51.398367","-1.21417","RG7 5UX","Berkshire Arms","Bath Road, Midgham, Newbury, RG7 5UX","01189 714114","6115@greeneking.co.uk",""
"ChefandBrewer","51.557139","-0.681292","SL1 8NS","Feathers","Taplow Common Road, Burnham, Slough, SL1 8NS","01628 664646","6175@greeneking.co.uk",""
"ChefandBrewer","51.437859","-0.900308","RG6 7EN","George","Loddon Bridge Road, Earley, Reading, RG6 7EN","01189 261844","6185@greeneking.co.uk",""
"ChefandBrewer","51.467357","-0.977349","RG4 7AD","Griffin","10-12 Church Road, Caversham, Reading, RG4 7AD","01189 475018","6195@greeneking.co.uk",""
"ChefandBrewer","51.39959","-1.019025","RG7 1LS","Old Bell","Goring Lane, Grazeley Green, Reading, RG7 1LS","01189 888348","6215@greeneking.co.uk",""
"ChefandBrewer","51.560391","-0.61553","SL2 3HS","Royal Oak","Beaconsfield Road, Farnham Common, Slough, SL2 3HS","01753 642032","6230@greeneking.co.uk",""
"ChefandBrewer","51.44684","-0.75193","RG42 6ER","Shepherds House","Moss End, Warfield, Bracknell, RG42 6ER","01344 423341","6233@greeneking.co.uk",""
"ChefandBrewer","51.51489","-0.777429","SL6 3QA","Shire Horse","Bath Road, Littlewick Green, Maidenhead, SL6 3QA","01628 825335","6236@greeneking.co.uk",""
"ChefandBrewer","51.404543","-0.857236","RG41 4BY","Ye Olde Leathern Bottel","221 Barkham Road, Barkham, Wokingham, RG41 4BY","01189 784222","6268@greeneking.co.uk",""
"ChefandBrewer","51.680197","-0.608371","HP6 5JN","Boot & Slipper","2 Rickmansworth Road, Amersham, HP6 5JN","01494 727082","6127@greeneking.co.uk",""
"ChefandBrewer","51.631444","-0.676553","HP10 8NY","Crown Inn","Church Road, Penn, HP10 8NY","01494 812640","6168@greeneking.co.uk",""
"ChefandBrewer","51.589576","-0.552274","SL9 8HX","Ethorpe Hotel","85 Packhorse Road, Gerrards Cross, SL9 8HX","01753 882039","6173@greeneking.co.uk",""
"ChefandBrewer","51.518842","-0.526939","SL0 0JZ","Red Lion","12 Langley Park Road, Iver, SL0 0JZ","01753 654257","6224@greeneking.co.uk",""
"ChefandBrewer","51.761244","-0.745639","HP22 6EJ","Shoulder of Mutton","20 Pound Street, Wendover, Aylesbury, HP22 6EJ","01296 623223","6238@greeneking.co.uk",""
"ChefandBrewer","51.628974","-0.583367","HP8 4LP","White Hart","Three Households, Chalfont St Giles, HP8 4LP","01494 872441","5630@Greeneking.co.uk",""
"ChefandBrewer","52.029238","-0.723666","MK6 3BS","Ye Olde Swan","Newport Road, Woughton-On-The-Green, Milton Keynes, MK6 3BS","01908 679489","6269@greeneking.co.uk",""
"ChefandBrewer","52.571087","-0.266863","PE3 6GA","Boathouse","Thorpe Meadows, Peterborough, PE3 6GA","01733 898 469","0122@greeneking.co.uk",""
"ChefandBrewer","52.258051","0.198723","CB25 9HZ","Bridge","Clayhythe Road, Waterbeach, Cambridge, CB25 9HZ","01223 860622","6131@greeneking.co.uk",""
"ChefandBrewer","52.206972","-0.29179","PE19 8EN","Crown Inn","1 Great North Road, Eaton Socon, St Neots, PE19 8EN","01480 212232","6169@greeneking.co.uk",""
"ChefandBrewer","52.572973","-0.288154","PE3 6NB","Fox & Hounds","Thorpe Road, Longthorpe, Peterborough, PE3 6NB","01733 264126","6179@greeneking.co.uk",""
"ChefandBrewer","53.396637","-2.213225","SK8 2NP","Ashlea","14 Manchester Road, Cheadle, SK8 2NP","01614 280413","6095@greeneking.co.uk",""
"ChefandBrewer","53.38858","-2.391974","WA14 4SE","Axe & Cleaver","School Lane, Dunham Massey, Altrincham, WA14 4SE","01619 283391","6097@greeneking.co.uk",""
"ChefandBrewer","53.259422","-2.18361","SK11 9PG","Blacksmiths Arms","Chelford Road, Macclesfield, SK11 9PG","01625 424312","6117@greeneking.co.uk",""
"ChefandBrewer","53.232057","-2.588678","CW8 2DN","Blue Cap","520 Chester Road, Sandiway, Northwich, CW8 2DN","01606 883006","6119@greeneking.co.uk",""
"ChefandBrewer","53.34543","-2.216407","SK9 3EW","Bulls Head","30 Wilmslow Road, Wilmslow, SK9 3EW","01625 535544","6143@greeneking.co.uk",""
"ChefandBrewer","53.29712","-2.137428","SK10 4EA","Butley Ash","London Road, Butley, Macclesfield, SK10 4EA","01625 824930","6147@greeneking.co.uk",""
"ChefandBrewer","53.299774","-2.236646","SK9 7AA","De Trafford Arms","2 Congleton Road, Alderley Edge, SK9 7AA","01625 583881","6170@greeneking.co.uk",""
"ChefandBrewer","53.378045","-2.363411","WA14 2TP","Griffin","Stamford Road, Bowdon, Altrincham, WA14 2TP","01619 281211","6196@greeneking.co.uk",""
"ChefandBrewer","53.397524","-2.700594","WA8 3XT","Griffin","184 Warrington Road, Bold Heath, Widnes, WA8 3XT","01514 245143","6328@greeneking.co.uk",""
"ChefandBrewer","53.430833","-2.064507","SK14 3AA","Hare & Hounds Inn","Werneth Low Road, Hyde, SK14 3AA","01613 665526","6197@greeneking.co.uk",""
"ChefandBrewer","53.29473","-3.04325","CH64 7TA","Hinderton Arms","Chester High Road, Neston, CH64 7TA","01513 361085","6200@greeneking.co.uk",""
"ChefandBrewer","53.340581","-2.423134","WA16 0PZ","Kilton Inn","Warrington Road, Hoo Green, Knutsford, WA16 0PZ","01565 830420","6205@greeneking.co.uk",""
"ChefandBrewer","53.340883","-2.633022","WA4 4AJ","Ring O' Bells","7 Chester Road, Daresbury, Warrington, WA4 4AJ","01925 740256","6225@greeneking.co.uk",""
"ChefandBrewer","53.091499","-2.489169","CW2 8SB","Rising Sun Inn","Middlewich Road, Wistaston, Crewe, CW2 8SB","01270 213782","1648@greeneking.co.uk",""
"ChefandBrewer","53.358948","-2.288858","WA15 8XJ","Romper","Wilmslow Road, Ringway, Altrincham, WA15 8XJ","01619 039473","6228@greeneking.co.uk",""
"ChefandBrewer","53.429854","-2.596961","WA2 8LF","Swan","Golborne Road, Winwick, Warrington, WA2 8LF","01925 631416","6245@greeneking.co.uk",""
"ChefandBrewer","52.935161","-1.534863","DE22 4LZ","Mundy Arms","95 Ashbourne Road, Mackworth, Derby, DE22 4LZ","01332 824254","6212@greeneking.co.uk",""
"ChefandBrewer","50.799566","-1.937061","BH21 2EQ","Fox & Hounds","Fox Lane, Wimborne, BH21 2EQ","01202 872 881","7773@greeneking.co.uk",""
"ChefandBrewer","51.6681","0.002212","EN9 3QF","Bakers Arms","Sewardstone Road, Sewardstone, Waltham Abbey, EN9 3QF","01992 656000","6099@greeneking.co.uk",""
