site,lat,lng,zip,name,address,phone,email,web
"CosyClub","51.26542599612619","-1.0847225001777654","RG21 7BB","Basingstoke","Unit R2 Festival Place, Basingstoke, RG21 7BB","","",""
"CosyClub","51.37860971778797","-2.3581334412467396","BA1 1AP","Bath","Unit R4, SouthGate Place, Bath, BA1 1AP","","",""
"CosyClub","52.48022601404795","-1.9001341016694973","B2 5SN","Birmingham &#8211; Bennetts Hill","33 Bennetts Hill, Birmingham, B2 5SN","","",""
"CosyClub","52.47830194885919","-1.912770330504733","B1 2HL","Birmingham &#8211; Brindleyplace","Unit 9F The Water's Edge, Brindleyplace, Birmingham, B1 2HL","","",""
"CosyClub","50.72053776444381","-1.8769191017181641","BH1 1LG","Bournemouth","34 Old Christchurch Road, Bournemouth, BH1 1LG","","",""
"CosyClub","51.45423200850594","-2.5951222016980386","BS1 1HT","Bristol","31 Corn Street, Old City, Bristol, BS1 1HT","","",""
"CosyClub","51.27833230124221","1.080197377823147","CT1 2TH","Canterbury","20-21 St Margaret's St, Canterbury, CT1 2TH","","",""
"CosyClub","51.4795708326376","-3.175865212386113","CF10 2LE","Cardiff","St David's Dewi Sant,1 Hills Street, Cardiff, CF10 2LE","","",""
"CosyClub","51.46337872633513","-3.165033429012953","CF10 5BZ","Cardiff Bay","Unit 24, Mermaid Quay, Cardiff Bay, CF10 5BZ","","",""
"CosyClub","51.73248192440866","0.47652966947445197","CM2 6JX","Chelmsford"," 24 Springfield Rd, Chelmsford CM2 6JX","","",""
"CosyClub","51.902391455619316","-2.0765911411143967","GL50 3FF","Cheltenham","The Brewery Quarter, High Street, Cheltenham, GL50 3FF","","",""
"CosyClub","53.19231455197146","-2.8926927016494095","CH1 2EY","Chester","Unit 2, Coachworks Arcade, Northgate Street, Chester CH1 2EY","","",""
"CosyClub","52.4078714701911","-1.509892612150498","CV1 1LL","Coventry","Cathedral Lanes Shopping Centre, Broadgate, Coventry, CV1 1LL","","",""
"CosyClub","52.9218296798944","-1.4771381016570488","DE1 1ES","Derby","Royal Buildings, Victoria Street, Derby, DE1 1ES","","",""
"CosyClub","54.77761435605267","-1.577973401603818","DH1 4SL","Durham","Unit R9 The Riverwalk, Durham, DH1 4SL","","",""
"CosyClub","51.23552131468433","-0.5727754305392485","GU1 3QY","Guildford","14 Tunsgate Quarter, Guildford, GU1 3QY","","",""
"CosyClub","53.99302394108312","-1.5407823015156357","HG1 1RX","Harrogate","37 Cambridge St, Harrogate HG1 1RX","","",""
"CosyClub","52.05816811490261","-2.715762712239658","HR4 9EP","Hereford","42 Widemarsh Street, Hereford, HR4 9EP","","",""
"CosyClub","52.05675497973146","1.154541469483477","IP1 1DT","Ipswich","Unit 12, Buttermarket Shopping Centre, Ipswich, Suffolk, IP1 1DT","","",""
"CosyClub","53.79757474320094","-1.5453445304673068","LS1 5AA","Leeds","53 Albion Street, Leeds, LS1 5AA","","",""
"CosyClub","52.63575150423552","-1.1390357832569915","LE1 4NN","Leicester","68 Highcross Street, Leicester, LE1 4NN","","",""
"CosyClub","53.227585734580536","-0.539311201648377","LN5 7HE","Lincoln","Unit 4 Corn Exchange Building, Sincil Street, Cornhill Quarter, Lincoln, LN5 7HE","","",""
"CosyClub","53.40379077622252","-2.9857243304785595","L13EU","Liverpool","37c Paradise Street, Liverpool, L13EU","","",""
"CosyClub","53.48469553201372","-2.2433875118732587","M4 3TR","Manchester","Corn Exchange, 37 Hanging Ditch, Manchester, M4 3TR","","",""
"CosyClub","52.042526203948135","-0.7590941535461148","MK9 3PD","Milton Keynes","Centre:mk, Unit 3/5 Silbury Arcade, Milton Keynes, MK9 3PD","","",""
"CosyClub","52.629673167817096","1.2956985694995027","NR2 1HX","Norwich","45-51 London Street, Norwich, NR2 1HX","","",""
"CosyClub","52.95321141613152","-1.1461806016561746","NG1 2EX","Nottingham","16-18 Victoria Street, Nottingham, NG1 2EX","","",""
"CosyClub","50.37055785027813","-4.137767974738799","PL4 0FE","Plymouth","Unit 3, 11 Bretonside, Plymouth, PL4 0FE","","",""
"CosyClub","50.79587899799071","-1.1081935305513173","PO1 3TT","Portsmouth","28-29 North Building, Gunwharf Quays, Portsmouth, PO1 3TT","","",""
"CosyClub","51.06718577956755","-1.7966151305438907","SP1 2PH","Salisbury","College Chambers, 49 New Street, Salisbury, SP1 2PH","","",""
"CosyClub","52.65167097109543","-0.4809505304998658","PE9 2RB","Stamford","The Old Delivery Office, Horse Shoe Lane, Stamford, PE9 2RB","","",""
"CosyClub","51.01436852977591","-3.104810201710153","TA1 4AJ","Taunton","Hunts Court, Corporation Street, Taunton, TA1 4AJ","","",""
"CosyClub","52.189755411644086","-2.2195954305128156","WR1 2BY","Worcester","6 Cathedral Square, Worcester, WR1 2BY","","",""
"CosyClub","53.95849320519119","-1.0784876304626834","YO1 9TA","York","19-22 Fossgate, York, YO1 9TA","","",""
