site,lat,lng,zip,name,address,phone,email,web
"DaisyGreen",51.525739,-0.1414287,NW1 3FG,"BEANY | GREEN - REGENT’S PLACE","25 Brock Street, Regent’s Place NW1 3FG",02073878546,,
"DaisyGreen",51.518813,-0.1802562,W2 6DS,"DARCIE & MAY | GREEN  GRAND UNION CANAL","Sheldon Square, Paddington Central W2 6DS",2035979908,,
"DaisyGreen",51.5158184,-0.0816282,EC2M 1GT,"PARADISE GREEN","Paradise Green, 100 Bishopsgate, London EC2M 1GT",02035979908,,
"DaisyGreen",,,NW8 7AS,"JOHNNY GREEN","Johnny Green, Henry House, 87 Allitsen Rd, London NW8 7AS",02035979908,,
"DaisyGreen",,,TW9 1TH,"PEGGY JEAN AT RIVERSIDE GREEN","The Boat, Bridge Boathouses, Riverside, Richmond TW9 1TH",02035979908,,
"DaisyGreen",51.5190235,-0.177668,W2 1DG,"BONDI | GREEN - GRAND UNION CANAL","1-2 Canalside Walk, Paddington W2 1DG",02033251340,,
"DaisyGreen",51.514903,-0.1601797,W1H 7HX,"DAISY | GREEN","20 Seymour Street, Marylebone W1H 7HX",02038879488,,
"DaisyGreen",51.5152954,-0.1379943,W1F 8GB,"SCARLETT | GREEN","4 Noel Street, Soho W1F 8GB",02036532010,,
"DaisyGreen",51.5108344,-0.1413535,SW1E 5DJ,"ZIGGY | GREEN","1 Heddon Street, Regent Street W1B 4BD",02045128550,,
"DaisyGreen",51.4978374,-0.1459642,SW1E 5DJ,"TIMMY | GREEN","11 Sir Simon Milton Square, Victoria SW1E 5DJ",02030197404,,
"DaisyGreen",51.517692,-0.0945554,EC2Y 5AU,"BARBIE | GREEN","2 London Wall Place, Barbican EC2Y 5AU",02045128540,,
"DaisyGreen",51.5198593,-0.1822508,W2 6EZ,"BEANY | GREEN - LITTLE VENICE","Sheldon Square, Paddington Central W2 6EZ",02072893344,,
"DaisyGreen",51.518749,-0.0859807,EC2M 2QS,"BEANY | GREEN - BROADGATE","41 Broadgate Circle EC2M 2QS",02072569524,, 
"DaisyGreen",51.5057909,-0.1176276,SE1 8XX,"BEANY | GREEN - SOUTHBANK","Belvedere Road, Southbank SE1 8XX",,,
