site,lat,lng,zip,name,address,phone,email,web
"Walkabout","51.733174","0.476098","CM2 6JE","Walkabout Chelmsford","Unit 2, 7 Springfield Rd, , Chelmsford, CM2 6JE"," 01245 806533","walkabout.chelmsford@stonegategroup.co.uk",""
"Walkabout","51.888619","0.896121","CO1 1NH","Walkabout Colchester","29-39 Head Street, , Colchester, CO1 1NH","01206 561865","walkabout.colchester@stonegategroup.co.uk",""
"Walkabout","51.658229","-0.4026147","WD17 1AW","Walkabout Watford","76 The Parade, High Street, Watford, WD17 1AW","01923 240688","Walkabout.Watford@stonegategroup.co.uk",""
"Walkabout","51.457283","-0.97081","RG1 1DG","Walkabout Reading","Wiston Terrace off Friar Street, , Reading, RG1 1DG","0118 953 0000","walkabout.reading@stonegategroup.co.uk",""
"Walkabout","50.821192","-0.14445","BN1 2RA","Walkabout Brighton","West Street, Brighton, East Sussex, , Brighton, BN1 2RA","01273 256720","walkabout.brighton@stonegategroup.co.uk",""
"Walkabout","51.40074","-1.322283","RG14 5BX","Walkabout Newbury","42 Cheap Street, , Newbury, RG14 5BX","01635 888778","walkabout.newbury@stonegategroup.co.uk",""
"Walkabout","52.633106","-1.131058","LE1 6SL","Walkabout Leicester","17 -23 Belvoir Street, , Leicester, LE1 6SL","0116 254 1001","walkabout.leicester@stonegategroup.co.uk",""
"Walkabout","53.230192","-0.540209","LN2 1AT","Walkabout Lincoln","233-237 High Street, , Lincoln, LN2 1AT","01522 538 663","walkabout.lincoln@stonegategroup.co.uk",""
"Walkabout","52.482423","-1.911133","B1 2DS","Walkabout Birmingham","Langley Bldg, Regency Wharf, , Birmingham, B1 2DS","0121 632 5712","walkabout.birmingham@stonegategroup.co.uk",""
"Walkabout","52.682848","-1.830019","WS13 6PW","Walkabout Lichfield","13 Bird Street, , Lichfield, WS13 6PW","01543 223679","walkabout.lichfield@stonegategroup.co.uk",""
"Walkabout","51.476973","-3.176947","CF10 1FA","Walkabout Cardiff","65-74 St Mary's Street, , Cardiff, CF10 1FA","02920 727 930","walkabout.cardiff@stonegategroup.co.uk",""
"Walkabout","51.45445","-2.5943","BS1 1HQ","Walkabout Bristol","40 Corn Street, , Bristol, BS1 1HQ","0117 930 0181","walkabout.bristol@stonegategroup.co.uk",""
"Walkabout","50.722425","-1.87285","BH1 1NL","Walkabout Bournemouth","158-164 Old Christchurch Road, , Bournemouth, BH1 1NL","01202 295 072","walkabout.bournemouth@stonegategroup.co.uk",""
"Walkabout","50.369917","-4.147177","PL1 2SU","Walkabout Plymouth","5 Union Street, , Plymouth, PL1 2SU","01752 825 650","walkabout.plymouth@stonegategroup.co.uk",""
"Walkabout","50.414829","-5.084996","TR7 1DS","Walkabout Newquay","The Crescent, , Newquay, TR7 1DS","01637 853 000","walkabout.newquay@stonegategroup.co.uk",""
"Walkabout","53.802106","-1.545945","LS1 3HQ","Walkabout Leeds","43 Woodhouse Lane, , Leeds, LS1 3HQ","0113 245 4928","Walkabout.Leeds@stonegategroup.co.uk",""
"Walkabout","53.38123","-1.474568","S1 4FS","Walkabout Sheffield","Carver Street, , Sheffield, S1 4FS","0114 241 3400","walkabout.sheffield@stonegategroup.co.uk",""
"Walkabout","53.485385","-2.240026","M4 2AD","Walkabout Manchester","Dantzic St, , Manchester, M4 2AD","0161 672 4660","walkabout.printworks@stonegategroup.co.uk",""
"Walkabout","53.824078","-3.055691","FY1 1NL","Walkabout Blackpool","1-9 Queen Street, , Blackpool, FY1 1NL"," 01253 749 132","walkabout.blackpool@stonegategroup.co.uk",""
"Walkabout","54.891279","-2.930383","CA1 1RP","Walkabout Carlisle","Unit 6, English Gate Plaza, Botchergate, , Carlisle, CA1 1RP","01228 554 980","walkabout.carlisle@stonegategroup.co.uk",""
"Walkabout","55.865169","-4.255151","G2 3AL","Walkabout Glasgow","128 Renfield Street, , Glasgow, G2 3AL","01413328209","walkabout.glasgow@stonegategroup.co.uk",""
