site,lat,lng,zip,name,address,phone,email,web
BREWHOUSE & KITCHEN,,,MK40 1NU,BREWHOUSE & KITCHEN - BEDFORD TEAM,"115 High Street,Bedford,Bedfordshire,MK40 1NU",01234 342931,bedford@brewhouseandkitchen.com,https://www.tripadvisor.co.uk/Restaurant_Review-g190737-d10436110-Reviews-Brewhouse_Kitchen_Bedford-Bedford_Bedfordshire_England.html
BREWHOUSE & KITCHEN,,,BH2 5LU,BREWHOUSE & KITCHEN - BOURNEMOUTH TEAM,"152-154 Commercial Road,Bournemouth,BH2 5LU",01202 055221,bournemouth@brewhouseandkitchen.com,https://www.tripadvisor.co.uk/Restaurant_Review-g186262-d12326848-Reviews-Brewhouse_Kitchen_Bournemouth_The_Triangle-Bournemouth_Dorset_England.html?m=19905
BREWHOUSE & KITCHEN,,,BS6 6JY,BRISTOL,"31 – 35 Cotham Hill,Clifton,Bristol,BS6 6JY",0117 9733793,bristol@brewhouseandkitchen.com,https://www.tripadvisor.co.uk/Restaurant_Review-g186220-d7910785-Reviews-Brewhouse_Kitchen_Bristol-Bristol_England.html
BREWHOUSE & KITCHEN,,,CF11 9HW,CROESO CYNNES GAN BREWHOUSE & KITCHEN - CRIW CAERDYDD,"Sophia Close,Cardiff,CF11 9HW",029 2037 1599,cardiff@brewhouseandkitchen.com,
BREWHOUSE & KITCHEN,,,CF11 9HW,BREWHOUSE & KITCHEN - CARDIFF TEAM,"Sophia Close,Cardiff,CF11 9HW",029 2037 1599,cardiff@brewhouseandkitchen.com,
BREWHOUSE & KITCHEN,,,GL50 4FA,BREWHOUSE & KITCHEN - CHELTENHAM TEAM,"The Brewery Quarter,Henrietta St,Cheltenham,GL50 4FA",012 4250 9946,cheltenham@brewhouseandkitchen.com,https://www.tripadvisor.co.uk/Restaurant_Review-g186284-d10259121-Reviews-Brewhouse_Kitchen_Cheltenham-Cheltenham_Cotswolds_England.html
BREWHOUSE & KITCHEN,,,CH1 1QY,BREWHOUSE & KITCHEN - CHESTER TEAM,"Love St Chester,CH1 1QY",01244 404990,chester@brewhouseandkitchen.com,https://www.tripadvisor.co.uk/Restaurant_Review-g186233-d11548603-Reviews-Brewhouse_Kitchen_Chester-Chester_Cheshire_England.html
BREWHOUSE & KITCHEN,,,DT1 1QY,BREWHOUSE & KITCHEN - DORCHESTER TEAM,"27 Weymouth Avenue,Dorchester, Dorset,DT1 1QY",01305 265551,dorchester@brewhouseandkitchen.com,https://www.tripadvisor.co.uk/Restaurant_Review-g186263-d6609270-Reviews-Brewhouse_Kitchen_Dorchester-Dorchester_Dorset_England.html
BREWHOUSE & KITCHEN,,,GL1 5SH,BREWHOUSE & KITCHEN - GLOUCESTER QUAYS TEAM,"Unit R1,St Anne Walk,Gloucester Quays,GL1 5SH",01452 222965,gloucester@brewhouseandkitchen.com,https://www.tripadvisor.co.uk/Restaurant_Review-g187047-d8539430-Reviews-Brewhouse_Kitchen_Gloucester_Quays-Gloucester_Cotswolds_England.html
BREWHOUSE & KITCHEN,,,RH12 1HL,BREWHOUSE & KITCHEN - HORSHAM,"38 East Street,Horsham,RH12 1HL",01403 788 140,horsham@brewhouseandkitchen.com,https://www.tripadvisor.co.uk/Restaurant_Review-g580419-d15049878-Reviews-Brewhouse_Kitchen_Horsham-Horsham_Horsham_District_West_Sussex_England.html
BREWHOUSE & KITCHEN,,,WS13 6PW,BREWHOUSE & KITCHEN - LICHFIELD TEAM,"1 Bird Street,WS13 6PW Lichfield",01543 224 740,lichfield@brewhouseandkitchen.com,https://www.tripadvisor.co.uk/Restaurant_Review-g186376-d12358907-Reviews-Brewhouse_Kitchen_Lichfield-Lichfield_Staffordshire_England.html
BREWHOUSE & KITCHEN,,,N5 1JJ,BREWHOUSE & KITCHEN - HIGHBURY TEAM,"2a Corsica Street,Highbury,London,N5 1JJ",0207 226 1026,highbury@brewhouseandkitchen.com,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d9593567-Reviews-Brewhouse_Kitchen_Highbury-London_England.html
BREWHOUSE & KITCHEN,,,E2 8HZ,BREWHOUSE & KITCHEN - HOXTON,"397-400 Geffrye Street,London,E2 8HZ",020 3861 8920,hoxton@brewhouseandkitchen.com,
BREWHOUSE & KITCHEN,,,EC1V 1NQ,Islington (Angel),"Torrens Street,London,EC1V 1NQ",0207 837 9421,islington@brewhouseandkitchen.com,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7281836-Reviews-Brewhouse_Kitchen_Islington-London_England.html
BREWHOUSE & KITCHEN,,,MK9 3PU,BREWHOUSE & KITCHEN - MILTON KEYNES TEAM,"7 Savoy Crescent,Milton Keynes,MK9 3PU",01908 049032,miltonkeynes@brewhouseandkitchen.com,https://www.tripadvisor.co.uk/Restaurant_Review-g190731-d9466840-Reviews-Brewhouse_Kitchen_Sutton_Coldfield-The_Royal_Town_of_Sutton_Coldfield_West_Midlan.html
BREWHOUSE & KITCHEN,,,NG2 2GS,BREWHOUSE & KITCHEN – NOTTINGHAM TEAM,"Trent Bridge,Nottingham,NG2 2GS",0115 986 7960,nottingham@brewhouseandkitchen.com,https://www.tripadvisor.co.uk/Restaurant_Review-g186356-d12537106-Reviews-Brewhouse_Kitchen_Nottingham-Nottingham_Nottinghamshire_England.html
BREWHOUSE & KITCHEN,,,BH15 1NZ,BREWHOUSE & KITCHEN - POOLE TEAM,"3 Dear Hay Lane,Poole,BH15 1NZ",01202 771246,poole@brewhouseandkitchen.com,https://www.tripadvisor.co.uk/Restaurant_Review-g190727-d7737659-Reviews-Brewhouse_Kitchen_Poole-Poole_Dorset_England.html
BREWHOUSE & KITCHEN,,,PO1 2DD,BREWHOUSE & KITCHEN - PORTSMOUTH TEAM,"26 Guildhall Walk,Portsmouth,PO1 2DD",0239 289 1340,portsmouth@brewhouseandkitchen.com,https://www.tripadvisor.co.uk/Restaurant_Review-g186298-d3953073-Reviews-Brewhouse_Kitchen_Portsmouth-Portsmouth_Hampshire_England.html
BREWHOUSE & KITCHEN,,,O17 1QD,BREWHOUSE & KITCHEN - SOUTHAMPTON TEAM,"47 Highfield Ln,Southampton,O17 1QD",023 8055 5566,southampton@brewhouseandkitchen.com,https://www.tripadvisor.co.uk/Restaurant_Review-g186299-d8871713-Reviews-Brewhouse_Kitchen_Southampton-Southampton_Hampshire_England.html
BREWHOUSE & KITCHEN,,,BH5 2BW,BREWHOUSE & KITCHEN - SOUTHBOURNE TEAM,"147 PARKWOOD ROAD,BOURNEMOUTH,BH5 2BW",01202 055209,southbourne@brewhouseandkitchen.com,https://www.tripadvisor.co.uk/Restaurant_Review-g186262-d10130667-Reviews-Brewhouse_Kitchen_Southbourne-Bournemouth_Dorset_England.html
BREWHOUSE & KITCHEN,,,PO5 3AU,BREWHOUSE & KITCHEN - SOUTHSEA,"51 Southsea Terrace,Southsea,PO5 3AU",023 9281 8979,southsea@brewhouseandkitchen.com,https://www.tripadvisor.co.uk/Restaurant_Review-g186298-d15606523-Reviews-Brewhouse_Kitchen_Southsea-Portsmouth_Hampshire_England.html
BREWHOUSE & KITCHEN,,,B72 1QD,BREWHOUSE & KITCHEN - SUTTON COLDFIELD TEAM,"8 Birmingham Rd,Sutton Coldfield,B72 1QD",0121 796 6838,suttoncoldfield@brewhouseandkitchen.com,https://www.tripadvisor.co.uk/Restaurant_Review-g190731-d9466840-Reviews-Brewhouse_Kitchen_Sutton_Coldfield-Sutton_Coldfield_West_Midlands_England.html
BREWHOUSE & KITCHEN,,,BN11 4JD,BREWHOUSE & KITCHEN - WORTHING,"Wykeham Rd,Worthing,BN11 4JD",01903 948 222,worthing@brewhouseandkitchen.com,
