site,lat,lng,zip,name,address,phone,email,web
"fullers","51.5682","-0.052851","E5 9HG","The Anchor & Hope","London","","",""
"fullers","51.4606","-0.304164","TW9 1JL","The Angel & Crown","Richmond","","",""
"fullers","51.8111","-0.806535","HP21 7SZ","The Aristocrat","Aylesbury","","",""
"fullers","51.3657","-2.6108","BS40 8PR","The Bear & Swan","Bristol","","",""
"fullers","51.9312","-1.27619","OX25 5LB","The Barley Mow","Bicester","","",""
"fullers","50.8265","-0.136562","BN1 4AD","The Basketmakers","Brighton","","",""
"fullers","51.4554","-0.419724","TW14 9HF","The Beehive","Feltham","","",""
"fullers","51.4837","-0.30629","TW8 0JG","The Beehive","Brentford","","",""
"fullers","51.4599","-0.178258","SW11 1TH","The Beehive","","","",""
"fullers","51.4299","-0.562359","TW20 0JQ","The Beehive","Egham","","",""
"fullers","51.7896","-0.96108","HP18 0DJ","The Bell","Aylesbury","","",""
"fullers","50.8333","-0.851172","PO18 8HG","The Berkeley Arms","Chichester","","",""
"fullers","51.5051","-0.034083","SE16 5EJ","The Blacksmith's Arms","London","","",""
"fullers","50.7157","-1.98663","BH15 1NE","The Blue Boar","Poole","","",""
"fullers","51.4824","-0.30622","TW8 8BD","The Brewery Tap","Brentford","","",""
"fullers","50.8324","-0.27858","BN43 5DE","The Bridge Inn","Shoreham by Sea","","",""
"fullers","52.0334","-0.969504","MK18 5HP","The Bull & Butcher","Buckingham","","",""
"fullers","50.8353","-0.81193","PO19 3JP","The Bull's Head","Chichester","","",""
"fullers","51.2313","-0.332951","RH4 2DY","The Bull's Head","Dorking","","",""
"fullers","51.756","-1.2111","OX3 7AN","The Butcher's Arms","Oxford","","",""
"fullers","50.8094","-1.07682","PO2 7PH","The Druid's Arms","Portsmouth","","",""
"fullers","50.836","-0.77316","PO19 7JG","The Eastgate","Chichester","","",""
"fullers","50.7933","-0.610725","PO22 6HD","The Elmer","Middleton on Sea","","",""
"fullers","51.5061","-0.320489","W13 9EP","The Forester, Ealing","Ealing","","",""
"fullers","50.9241","-1.01299","PO8 0TD","The Farmer Inn","Portsmouth","","",""
"fullers","51.8531","-0.50916","LU6 2PJ","The Farmer's Boy","Dunstable","","",""
"fullers","50.7868","-1.07923","PO5 2SL","The Fifth Hants Volunteer Arms","Southsea","","",""
"fullers","50.7503","-1.54134","SO41 8FD","The Fisherman's Rest","Lymington","","",""
"fullers","51.2584","-1.16753","RG23 7HH","The Fox Inn","Basingstoke","","",""
"fullers","51.7485","-0.33684","AL1 1RT","The Garibaldi","St. Albans","","",""
"fullers","51.6147","-0.717","HP11 1HZ","The General Havelock","High Wycombe","","",""
"fullers","51.4865","-0.25198","W4 2QE","The George & Devonshire","London","","",""
"fullers","51.5292","-0.083763","N1 6BU","The George & Vulture","London","","",""
"fullers","51.8237","-0.337869","AL5 5AH","The Gibraltar Castle","Harpenden","","",""
"fullers","51.4906","-0.309801","TW8 9NA","The Globe","Brentford","","",""
"fullers","50.7901","-1.07338","PO4 0JA","The Golden Eagle","Southsea","","",""
"fullers","50.8545","-1.17374","PO16 7AE","The Golden Lion","Fareham","","",""
"fullers","51.0066","-0.934038","GU31 4AF","The Good Intent","Petersfield","","",""
"fullers","51.1331","-0.988763","GU34 1SB","The Greyfriar","Chawton","","",""
"fullers","51.4688","-1.08669","RG8 8ER","The Greyhound","Reading","","",""
"fullers","51.4872","-0.303241","TW8 0NP","The Griffin","Brentford","","",""
"fullers","51.6516","-0.57969","HP8 4RS","The Ivy House","Chalfont St Giles","","",""
"fullers","51.2794533","-0.585262656","GU3 3RN","The Jolly Farmer","Guildford","","",""
"fullers","51.1068","-1.30253","SO23 7NU","The King Charles","Winchester","","",""
"fullers","50.8479","-0.941013","PO10 7JD","The King's Arms","Emsworth","","",""
"fullers","51.5078","-0.273048","W3 9NX","The King's Head","London","","",""
"fullers","51.6551","-0.774057","HP13 5YQ","The Le De Spencers","High Wycombe","","",""
"fullers","51.5005","-0.084782","SE1 3HN","The Leather Exchange","London","","",""
"fullers","50.874","0.00939","BN7 1YH","The Lewes Arms","Lewes","","",""
"fullers","51.0187","-0.472415","RH14 9JA","The Limeburners","Billingshurst","","",""
"fullers","51.364","-0.186523","SM1 4BY","The Little Windsor","Sutton","","",""
"fullers","51.4913","-0.308549","TW8 9NY","The Lord Nelson","Brentford","","",""
"fullers","50.8465","-0.932982","PO10 7BJ","The Lord Raglan","Emsworth","","",""
"fullers","51.7385","-1.21756","OX4 2HH","The Marsh Harrier","Oxford","","",""
"fullers","50.8071","-0.976244","PO11 0PS","The Maypole","Hayling Island","","",""
"fullers","50.871","-1.20191","PO17 5EF","The Miner's Arms","Fareham","","",""
"fullers","51.4956","-0.039405","SE16 7PL","The Moby Dick","London","","",""
"fullers","50.8299","-0.636726","PO22 0AS","The Murrell Arms","Bognor Regis","","",""
"fullers","51.3196","-0.388234","KT11 3BN","The Old Plough","Stoke D'Abernon","","",""
"fullers","52.193","-1.71021","CV37 6LE","Old Thatch Tavern","Warwickshire","","",""
"fullers","51.8042","-0.727254","HP22 5EU","The Oak","Aylesbury","","",""
"fullers","51.7883","0.00596","SG12 8AG","The Oak","Ware","","",""
"fullers","51.8798","-0.563018","LU6 1RE","The Old Farm Inn","Dunstable","","",""
"fullers","51.4331","-0.674485","SL4 2EE","The Old Hatchet","Windsor","","",""
