site,lat,lng,zip,name,address,phone,email,web
"tabletable","50.941678","-2.676018","BA22 8UX","Airfield Tavern","Alvington Lane, Brampton Road, Yeovil, BA22 8UX","","",""
"tabletable","51.670799","-3.01785","NP44 1DE","Ashbridge Inn","Avondale Road, Pontrhydyrun, Cwmbran, Gwent, NP44 1DE","","",""
"tabletable","50.737963","-1.791329","BH23 2BN","Bailey Bridge","Barrack Road, Christchurch, Dorset, BH23 2BN","","",""
"tabletable","51.919748","0.932658","CO4 9WP","Balkerne Gate","Ipswich Road, Colchester, Essex, CO4 9WP","","",""
"tabletable","53.5255","-1.132557","DN1 1QZ","Barley Twist","High Fishergate, Doncaster, West Yorkshire, DN1 1QZ","","",""
"tabletable","51.074167","-4.032497","EX32 8RY","Barum Gate","Whiddon Valley, Barnstaple, N Devon, EX32 8RY","","",""
"tabletable","51.858816","1.101873","CO16 9AA","Bowling Green","Colchester Road, Tendring, Clacton-on-Sea, CO16 9AA","","",""
"tabletable","53.378029","-2.218766","SK8 3FE","Cheadle Royal","Royal Crescent, Cheadle, Cheshire, SK8 3FE","","",""
"tabletable","52.589975","-1.952648","WS4 2JL","Dilke Arms","Aldridge Road, Walsall, West Midlands, WS4 2JL","","",""
"tabletable","55.887918","-3.0958","EH18 1AN","Esk Valley","Melville Dykes Road, Dalkeith, Midlothian, EH18 1AN","","",""
"tabletable","52.625261","-1.208797","LE3 3GD","Forest Park","Hinckley Road, Leicester Forest East, Leicester, LE3 3GD","","",""
"tabletable","51.128724","0.89972","TN24 OGN","French Connection","Hall Avenue, Orbital Retail Park, Sevington, Ashford, TN24 OGN","","",""
"tabletable","53.393105","-2.352018","WA14 4PH","George & Dragon","Manchester Road, Altrincham, Cheshire, WA14 4PH","","",""
"tabletable","53.552764","-1.486888","S70 2SB","Glass House","Shambles Street, Gateway Plaza, Barnsley, S70 2SB","","",""
"tabletable","51.089642","-1.772318","SP1 3GU","Hampton Inn","Pearce Way, Off London Road, Salisbury, SP1 3GU","","",""
"tabletable","51.362523","1.144316","CT6 6LA","Herne Bay","Blacksole Farm, Margate Road, Herne Bay, Kent, CT6 6LA","","",""
"tabletable","50.724938","-1.991057","BH15 2BD","Holes Bay","Holes Bay Road, Poole, Dorset, BH15 2BD","","",""
"tabletable","51.857491","-0.480952","LU6 3QP","Horse & Jockey","125 Watling Street, Kensworth, Dunstable, Bedfordshire, LU6 3QP","","",""
"tabletable","53.606512","-2.105663","OL16 4JF","John Milne","Newhey Road, Milnrow, Rochdale, OL16 4JF","","",""
"tabletable","52.518075","-0.939717","LE16 7FD","Langton Inn","Melton Road, West Langton, Market Harborough, LE16 7FD","","",""
"tabletable","54.496926","-6.054883","BT27 5QY","Linen House","136-144 Hillsborough Road, Lisburn, Belfast, BT27 5QY","","",""
"tabletable","50.722982","-1.855402","BH1 3PA","Lynton Court","47 Christchurch Road, Boscombe, Bournemouth, BH1 3PA","","",""
"tabletable","51.124846","1.320205","CT16 1LW","Marine Court","Marine Parade, Dover, Kent, CT16 1LW","","",""
"tabletable","57.203515","-2.090514","AB23 8BP","Mill of Mundurno","Murcar, Bridge of Don, Aberdeen, AB23 8BP","","",""
"tabletable","53.290091","-3.474104","LL18 5UA","Morfa","Castleview Retail Park, Marsh Road, Rhuddlan, LL18 5UA","","",""
"tabletable","55.833349","-4.173539","G32 8EY","Orion Way","Off London Road, Cambuslang, Glasgow, G32 8EY","","",""
"tabletable","52.844513","-3.039072","SY10 8NN","Oswalds Cross","Rods Meadow, Maeys y Clawdd, Maesbury Indus. Estate, Oswestry, SY10 8NN","","",""
"tabletable","51.513964","-3.495905","CF35 5HY","Pantruthyn Farm","Pencoed, Bridgend, South Wales, CF35 5HY","","",""
"tabletable","53.203565","-4.179611","LL57 4FA","Parc Brittania","Parc Menai Road, Parc Menai, Bangor, LL57 4FA","","",""
"tabletable","52.602344","-0.266955","PE4 6AH","Paul Pry","1023 Lincoln Road, Walton, Peterborough, PE4 6AH","","",""
"tabletable","51.724848","-3.360572","CF48 4BD","Pentrebach House","Pentrebach House, Pentrebach, Merthyr Tydfil, CF48 4BD","","",""
"tabletable","51.335947","1.314368","CT12 4AG","Smugglers Retreat","Tothill Street, Minster, Ramsgate, CT12 4AG","","",""
"tabletable","55.069375","-3.558712","DG1 3JX","Solway Gate","Euroroute, Annan Road, Dumfries, DG1 3JX","","",""
"tabletable","53.468552","-2.355849","M41 7JE","Swinging Bridge","Trafford Boulevard, Urmston, Lancashire, M41 7JE","","",""
"tabletable","53.644676","-1.773841","HD1 6SB","The Aspley","St Andrews Road, Huddersfield, West Yorkshire, HD1 6SB","","",""
"tabletable","53.476741","-2.244620","M2 3DW","The Bishopsgate","Bishopsgate, 7-11 Lower Mosley Street, Manchester, M2 3DW","","",""
"tabletable","52.588593","-2.119578","WV10 0BA","The Bluebrick","Sun Street, Wolverhampton, West Midlands, WV10 0BA","","",""
"tabletable","50.475205","-4.703672","PL31 2AR","The Callywith","Launceston Road, Bodmin, Cornwall, PL31 2AR","","",""
"tabletable","52.604273","-1.648421","B77 5PN","The Centurion","Watling Street, Wilnecote, Tamworth, B77 5PN","","",""
"tabletable","51.8231","-0.829961","HP19 8AW","The Charter","2 Rimmington Way, Aylesbury, Buckinghamshire, HP19 8AW","","",""
"tabletable","52.76297","-1.930139","WS15 1LX","The Colliers","Tower Business Park, Power Station Road, Rugeley, Staffordshire, WS15 1LX","","",""
"tabletable","53.407664","-2.8652","L36 4HD","The Derby Lodge","Roby Road, Huyton, Liverpool, L36 4HD","","",""
"tabletable","50.973089","-1.373999","SO50 9YX","The Gateway","Leigh Road, Eastleigh, Southampton, SO50 9YX","","",""
"tabletable","53.143373","-4.275463","LL55 1TH","The Harbour","Doc Fictoria, Balaclava Road, Caernarfon, Gwynedd, LL55 1TH","","",""
"tabletable","55.778625","-4.16311","G74 3XB","The Lee Burn","5 Lee Burns Court, Nerston, East Kilbride, G74 3XB","","",""
"tabletable","53.954394","-1.092904","YO24 1AJ","The Longboat","28-40 Blossom Street, York, Yorkshire, YO24 1AJ","","",""
"tabletable","52.628127","1.304262","NR1 1DX","The Nelson","Prince of Wales Road, Norwich, Norfolk, NR1 1DX","","",""
"tabletable","52.897293","-1.47809","DE23 8AG","The Oast House","Foresters Park Centre, Sinfin Lane, Derby, DE23 8AG","","",""
"tabletable","52.261237","0.397933","CB8 8NY","The Ormonde","Fred Archer Way, Newmarket, Cambridgeshire, CB8 8NY","","",""
"tabletable","53.980503","-1.525619","HG2 8RA","The Park","Hornbeam Park Avenue, Harrogate, North Yorkshire, HG2 8RA","","",""
"tabletable","52.19391","-1.703449","CV37 6YW","The Red Lion","1 Warwick Road, Stratford-Upon-Avon, Warwickshire, CV37 6YW","","",""
"tabletable","50.91333","-0.996415","PO8 0DT","The Red Lion","2 Havant Road, Horndean, Portsmouth, PO8 0DT","","",""
"tabletable","52.529577","-2.014425","B70 0NP","The Ridgacre","New Gas Street, West Bromwich, Sandwell, B70 0NP","","",""
"tabletable","55.120797","-6.676598","BT51 3AW","The Riverside","3 Riverside Park North, Castleroe Road, Coleraine, BT51 3AW","","",""
"tabletable","52.65081","1.183305","NR5 0TP","The Showground","Longwater Interchange, Dereham Road, New Costessey, Norwich, NR5 0TP","","",""
"tabletable","52.795003","-1.579499","DE15 0PU","The Stanhope Arms","Ashby Road East, Burton-On-Trent, Staffordshire, DE15 0PU","","",""
"tabletable","53.468954","-2.588782","WA3 3JD","The Stonecross","Yew Tree Lane, Golborne, Warrington, WA3 3JD","","",""
"tabletable","50.216129","-5.318413","TR14 7NF","The Trevithick Inn","Treswithian Road, Camborne, Cornwall, TR14 7NF","","",""
"tabletable","52.907401","-1.854544","ST14 5AA","The Water Bridge","Derby Road, Uttoxeter, Staffordshire, ST14 5AA","","",""
"tabletable","50.402172","-5.028541","TR8 4LE","Treffry Tavern","Quintrell Downs, Newquay, Cornwall, TR8 4LE","","",""
"tabletable","54.330727","-2.748216","LA9 4QD","Wakefield Arms","Maude Street, Kendal, Cumbria, LA9 4QD","","",""
"tabletable","51.505505","0.225552","RM13 9ED","Willow Farm","New Road, Wennington, Rainham, RM13 9ED","","",""
