site,lat,lng,name,address,phone,email,web
"youngs","51.516504","-0.13732900000002246","Adam and Eve","77a Wells Street
Fitzrovia
London
W1T 3QQ","020 7636 0717","adamandeve@youngs.co.uk","https://www.theadamandevew1.co.uk/"
"youngs","51.75374919999999","-0.3375382","Alban’s Well","Alban's Well,
52 St Peters Street,
St Alban's,
Hertfordshire,
AL1 3DY","01727616598","albanswell@youngs.co.uk","https://www.albanswell.co.uk/"
"youngs","51.4162177","-0.28398249999997915","Albert","57 Kingston Hill
Norbiton
Surrey
KT2 7PX","020 8546 7669","thealbert@youngs.co.uk","http://www.thealbertkingston.co.uk/"
"youngs","51.5138879","-0.10460469999998168","Albion","2-3 New Bridge St
City of London
EC4V 6AA","020 7583 0227","albion@youngs.co.uk","http://www.thealbionlondon.com/"
"youngs","51.4412807","-0.33298179999997046","Alexander Pope","Cross Deep
Twickenham
London
TW1 4RB","020 8892 3050","alexanderpope@youngs.co.uk","https://www.alexanderpope.co.uk/"
"youngs","51.422017","-0.20814659999996366","Alexandra","33 Wimbledon Hill Rd
Wimbledon
London
SW19 7NE","020 8974 7691","alexandra@youngs.co.uk","https://www.alexandrawimbledon.com/"
"youngs","51.4607108","-0.1876695999999356","Alma","499 Old York Road
Wandsworth
London
SW18 1TF","020 8870 2537","alma@youngs.co.uk","https://www.almawandsworth.com/"
"youngs","51.7502794","-1.242595700000038","Angel & Greyhound","30 St. Clements Street
Oxford
OX4 1AB","018 6524 2660","angelandgreyhound@youngs.co.uk","http://www.angelandgreyhound.co.uk/"
"youngs","51.326924","-0.4092676999999867","Bear, Cobham","Riverhill,
Cobham,
Surrey,
KT11 3DX","01932967040","bearcobham@youngs.co.uk","https://www.bearcobham.co.uk/"
"youngs","51.3692091","-0.36511029999996936","Bear, Esher","71 High Street
Esher
Surrey
KT10 9RQ","013 7246 9786","bearesher@youngs.co.uk","https://www.bearesher.co.uk/"
"youngs","51.3281286","-0.3546370000000252","Bear, Oxshott","Leatherhead Road
Oxshott
Surrey
KT22 0JE","013 7284 2747","bearoxshott@youngs.co.uk","https://www.thebearoxshott.co.uk/"
"youngs","51.5965445","-0.24292719999994006","Beaufort","2 Heritage Avenue
Grahame Park Way
Hendon
London
NW9 5AA","020 8205 6198","beaufortevents@youngs.co.uk","http://www.thebeaufortpub.co.uk/"
"youngs","51.6738833","-0.528525","Bedford Arms","Chenies
Rickmansworth
Hertfordshire
WD3 6EQ","01923 283301","bedformarms@youngs.co.uk","https://www.bedfordarms.co.uk/"
"youngs","51.9285619","-1.7182993000000124","Bell at Stow","Park Street
Stow-on-the-Wold
Gloucestershire
GL54 1AJ","014 5187 0916","bellatstow@youngs.co.uk","https://www.thebellatstow.com/"
"youngs","51.291057","-0.35491700000000037","Bell, Fetcham","Bell Lane
Fetcham
Leatherhead
Surrey
KT22 9ND","013 7237 2624","bellfetcham@youngs.co.uk","http://www.bellfetcham.com/"
"youngs","51.530129","-0.12478399999997691","Betjeman Arms","53 St Pancras International Station
Euston Road
Kings Cross
N1C 4QL","020 7923 5440","betjemanarms@youngs.co.uk","https://www.thebetjemanarms.co.uk/"
"youngs","51.40740839999999","0.055879399999980706","Bickley","The Bickley
Chislehurst Road
Chislehurst
Kent
BR7 5NP","020 8468 7613","bickley@youngs.co.uk","https://thebickley.com/"
"youngs","51.4103138","-0.3081420999999409","Bishop","2 Bishop\u2019s Hall off Thames Street
Kingston-Upon-Thames
Surrey
KT1 1PY","020 8546 4965","bishop@youngs.co.uk","https://www.thebishopkingston.co.uk/"
"youngs","51.5179993","-0.0794122","Bishop’s Vaults","202 Swedeland Court,
Bishopsgate,
London,
EC2M 4NR","02030404440","bishopsvaults@youngs.co.uk","https://www.bishopsvaults.co.uk/"
"youngs","51.9428063","-1.544560899999965","Blue Boar","1 Goddards Lane
Chipping Norton
OX7 5NP","020 3437 0891","blueboar@youngs.co.uk","http://www.blueboarpub.co.uk/"
"youngs","51.46522199999999","-0.21276000000000295","Boathouse","32 Brewhouse Lane
Putney
London
SW15 2JX","020 8789 0476","boathouse@youngs.co.uk","http://www.boathouseputney.co.uk/"
"youngs","51.0554862","-4.180812500000002","Boathouse, Instow","Marine Parade
Instow
Bideford
Devon
EX39 4JJ","01271 861292","boathouseinstow@youngs.co.uk","https://theboathouseinstow.co.uk/"
